WARNING: 3 open meshes merged
     Merged: Main Wing
     Merged: HStab
     Merged: LERX
...Mass Properties...
60 Num Comps
60 Total Num Meshes
51856 Total Num Tris

1.273432640527971e+03             Total Mass
2.408794901353383e+01 3.464725023598797e-03 6.819298935034950e-03       Center of Gravity
2.720494074389293e+04 1.804988489147481e+05 2.014925654883151e+05       Ixx, Iyy, Izz
-7.774922882939462e+01 2.334714032755478e+01 3.806194582431203e+01       Ixy, Ixz, Iyz
1.273432640527971e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Seat	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
AN-APG-85 RADAR	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
GAU-22-A CANNON	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Cannon barrels	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
AN-ASQ-242 CNI RADIO-IFF	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Primary active control module	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Secondary active control module	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fuselage fuel tank	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Inflight refuel probe	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Wing fuel tanks	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Wing fuel tanks	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Primary hydraulic pump	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Secondary hydraulic pump	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.273432640527971e+03	2.408794901353383e+01	3.464725023598797e-03	6.819298935034950e-03	2.720494074389293e+04	1.804988489147481e+05	2.014925654883151e+05	-7.774922882939462e+01	2.334714032755478e+01	3.806194582431203e+01	1.273432640527971e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
10 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.590283999708787e-01	7.460826107646939e+01	5.590283999708782e-01	9.191377231966559e-03	7.648571698770112e-03	3.108285621238949e+02	4.742508740618946e+02	6.507531175159569e+02	1.319276784293665e+00	-1.923839700238718e-01	1.844055220704497e+01	7.460826107646939e+01
5.676685199912630e+00	1.584969809385491e+02	3.267683638060431e+00	1.629412564845649e-02	5.895530524770836e-02	6.317798060858679e+02	2.044741389821401e+03	2.385098511341982e+03	7.543765024441711e+00	1.807441128133431e+01	1.644141838863389e+01	1.584969809385491e+02
1.079434199985438e+01	2.546185116121072e+02	6.109087108734749e+00	1.732825279501381e-02	4.067530842411897e-02	9.960613533756134e+02	6.087008654536407e+03	6.535374931938532e+03	9.638193374885693e+00	-6.523678902684061e+00	1.851087685133862e+01	2.546185116121072e+02
1.591199879979613e+01	3.846448340925336e+02	9.422888423124553e+00	1.147056594667128e-02	1.861050883186181e-01	1.610547320516994e+03	1.544113567886625e+04	1.575718300672459e+04	-4.296582399875112e+00	3.528620982572136e+02	1.812405953603587e+01	3.846448340925336e+02
2.102965559973788e+01	5.224547686320916e+02	1.248445072642768e+01	8.444929973663558e-03	1.445675276932199e-01	2.506420464331331e+03	3.018024985268842e+04	3.075440242171488e+04	-1.757456592341972e+01	1.643440870195253e+02	1.966362693528171e+01	5.224547686320916e+02
2.614731239967963e+01	7.718998572800512e+02	1.689970447874521e+01	5.715889041683203e-03	-1.944380838665944e-02	7.773785479820146e+03	6.365682904037300e+04	6.830146967226894e+04	-4.180276414027249e+01	-1.014180101963746e+03	2.630834071510514e+01	7.718998572800512e+02
3.126496919962138e+01	1.038768845690267e+03	2.059026920853141e+01	4.247426127388826e-03	-7.178881845939199e-02	2.283291028420847e+04	1.066164814051886e+05	1.251591876411496e+05	-6.125598004213711e+01	-1.601829034583730e+03	3.301801150135343e+01	1.038768845690267e+03
3.638262599956315e+01	1.150837713311667e+03	2.212813290744614e+01	3.833810696736496e-03	-4.361702581079455e-02	2.488777125319255e+04	1.326457470542382e+05	1.528638566741537e+05	-6.911404486758977e+01	-1.143201302643872e+03	3.611231770758975e+01	1.150837713311667e+03
4.150028279950489e+01	1.249834635111593e+03	2.366256246643283e+01	3.530142157652949e-03	-3.343738725313239e-04	2.589755800269288e+04	1.678602845195082e+05	1.881571878719049e+05	-7.594235793614365e+01	-1.811839049188871e+02	3.799576152154444e+01	1.249834635111593e+03
4.661793959944664e+01	1.273432640527972e+03	2.408794901353382e+01	3.464725023596733e-03	6.819298935034664e-03	2.720494074389297e+04	1.804988489147489e+05	2.014925654883156e+05	-7.774922882937076e+01	2.334714032756994e+01	3.806194582431184e+01	1.273432640527972e+03
